(`id`, `poke_id`, `alt_id`, `poke_name`, `alter_poke_name`, `scyther_name`, `pokeapi_id`, `hp`, `attack`, `defense`, `spatk`, `spdef`, `speed`, `male`, `female`, `genderless`, `type_1`, `type_2`, `ability_1`, `ability_2`, `hidden_ability`, `classification`, `height`, `weight`, `capture_rate`, `base_egg_steps`, `base_happiness`, `ev`, `egg_group_1`, `egg_group_2`, `female_spec_sprite`, `female_spec_icon`, `platform`, `evo_level`, `canon`) VALUES
(1, 1, 0, 'Bulbasaur', '', 'Bulbasaur ', '', 45, 49, 49, 65, 65, 45, 88, 12, 0, 'Grass', 'Poison', 'Overgrow', 'None', 'Chlorophyll', 'Seed', '7', '69', 45, '5355', 70, '0,0,0,1,0,0', 'Plant', 'Monster', NULL, NULL, 20, 16, 'canon'),
(2, 2, 0, 'Ivysaur', '', 'Ivysaur ', '', 60, 62, 63, 80, 80, 60, 88, 12, 0, 'Grass', 'Poison', 'Overgrow', 'None', 'Chlorophyll', 'Seed', '10', '130', 45, '5355', 70, '0,0,0,1,1,0', 'Plant', 'Monster', NULL, NULL, 9, 32, 'canon'),
(3, 3, 1, 'Venusaur', '(Mega)', 'Venusaur (Mega)', '', 80, 100, 123, 122, 120, 80, 87, 13, 0, 'Grass', 'Poison', 'Thick Fat', 'None', 'None', 'Seed', '24', '1555', 45, '5355', 70, '0,0,0,2,1,0', 'Plant', 'Monster', NULL, NULL, -14, 0, 'canon'),
(4, 3, 0, 'Venusaur', '', 'Venusaur ', '', 80, 82, 83, 100, 100, 80, 88, 12, 0, 'Grass', 'Poison', 'Overgrow', 'None', 'Chlorophyll', 'Seed', '20', '1000', 45, '5355', 70, '0,0,0,2,1,0', 'Plant', 'Monster', NULL, NULL, 2, 0, 'canon'),
(5, 4, 0, 'Charmander', '', 'Charmander ', '', 39, 52, 43, 60, 50, 65, 88, 12, 0, 'Fire', 'None', 'Blaze', 'None', 'Solar Power', 'Lizard', '6', '85', 45, '5355', 70, '0,0,0,0,0,1', 'Dragon', 'Monster', NULL, NULL, 12, 16, 'canon'),
(6, 5, 0, 'Charmeleon', '', 'Charmeleon ', '', 58, 64, 58, 80, 65, 80, 88, 12, 0, 'Fire', 'None', 'Blaze', 'None', 'Solar Power', 'Flame', '11', '190', 45, '5355', 70, '0,0,0,1,0,1', 'Dragon', 'Monster', NULL, NULL, 5, 36, 'canon'),
(7, 6, 1, 'Charizard', '(Mega X)', 'Charizard (Mega X)', '', 78, 130, 111, 130, 85, 100, 87, 13, 0, 'Fire', 'Dragon', 'Tough Claws', 'None', 'None', 'Flame', '17', '1105', 45, '5355', 70, '0,0,0,3,0,0', 'Dragon', 'Monster', NULL, NULL, -14, 0, 'canon'),
(8, 6, 2, 'Charizard', '(Mega Y)', 'Charizard (Mega Y)', '', 78, 104, 78, 159, 115, 100, 87, 13, 0, 'Fire', 'Flying', 'Drought', 'None', 'None', 'Flame', '17', '1005', 45, '5355', 70, '0,0,0,3,0,0', 'Dragon', 'Monster', NULL, NULL, -13, 0, 'canon'),
(9, 6, 0, 'Charizard', '', 'Charizard ', '', 78, 84, 78, 109, 85, 100, 88, 12, 0, 'Fire', 'Flying', 'Blaze', 'None', 'Solar Power', 'Flame', '17', '905', 45, '5355', 70, '0,0,0,3,0,0', 'Dragon', 'Monster', NULL, NULL, -5, 0, 'canon'),
(10, 7, 0, 'Squirtle', '', 'Squirtle ', '', 44, 48, 65, 50, 64, 43, 88, 12, 0, 'Water', 'None', 'Torrent', 'None', 'Rain Dish', 'Tiny Turtle', '5', '90', 45, '5355', 70, '0,0,1,0,0,0', 'Water1', 'Monster', NULL, NULL, 15, 16, 'canon'),
(11, 8, 0, 'Wartortle', '', 'Wartortle ', '', 59, 63, 80, 65, 80, 58, 88, 12, 0, 'Water', 'None', 'Torrent', 'None', 'Rain Dish', 'Turtle', '10', '225', 45, '5355', 70, '0,0,1,0,1,0', 'Water1', 'Monster', NULL, NULL, 5, 36, 'canon'),
